material_id,name,synonyms,material_type,category,subcategory,CAS,PubChem_CID,SMILES,InChIKey,supplier_or_grade_notes,route_suitability,regulatory_or_safety_notes,source_id,curation_status,confidence_score,notes,BCS_class,CMC_mM,HBA,HBD,HLB,ICH_class,MW,PDE_mg_day,TPSA,Tg_C,Tm_C,acid_base,aromatic_rings,avg_MW,boiling_point_C,cationic,charge_inducer,cloud_point_C,cryoprotectant,delta_D,delta_H,delta_P,density_g_ml,dielectric_constant,edge_activator,formal_charge,fusogenic,headgroup_area_nm2,hsp_radius,ionizable,logP,melting_point_C,molar_volume_cm3_mol,mucoadhesive,n_tails,pKa,pegylated,polarity_index,porous_carrier,rotatable_bonds,tail_carbons,tail_unsaturation,toxicity_penalty,vesicle_anchor,water_miscibility,water_solubility_mg_ml
API_NAPROXEN,Naproxen,,api,Drug/API,NSAID,,156391.0,,,,weak-acid NSAID,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,3,1,,,230.26,,46.5,,,,2,,,,,,,18.2,10,8,,,,0,,,8.5,,3.2,154,184.21,,,4.2,,,,3,,,,,,0.016
API_INDOMETHACIN,Indomethacin,,api,Drug/API,NSAID,,3715.0,,,,weak-acid NSAID; high crystallization risk,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,4,1,,,357.79,,68.5,,,,2,,,,,,,18.2,10,8,,,,0,,,8.5,,4.3,158,286.23,,,4.5,,,,4,,,,,,0.002
API_PACLITAXEL,Paclitaxel,,api,Drug/API,anticancer taxane,,36314.0,,,,neutral bulky hydrophobic anticancer payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,IV,,15,4,,,853.91,,221.3,,,,7,,,,,,,18.2,10,8,,,,0,,,8.5,,3.96,213,711.59,,,,,,,14,,,,,,0.0003
API_DOCETAXEL,Docetaxel,,api,Drug/API,anticancer taxane,,148124.0,,,,taxane; precipitation/crystallization risk,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,IV,,15,5,,,807.88,,224.1,,,,6,,,,,,,18.2,10,8,,,,0,,,8.5,,3.5,232,673.23,,,,,,,14,,,,,,0.0005
API_DOXORUBICIN,Doxorubicin,,api,Drug/API,anthracycline,,31703.0,,,,cationizable anthracycline; pH-gradient liposome loading,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,III,,12,6,,,543.52,,206.1,,,,5,,,,,,,18,13,10.5,,,,0,,,9,,1.3,229,434.82,,,8.2,,,,5,,,,,,0.1
API_CISPLATIN,Cisplatin,,api,Drug/API,platinum complex,,84691.0,,,,placeholder inorganic anticancer; use complex-specific models,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,III,,2,2,,,300.05,,52,,,,0,,,,,,,17.5,20,15,,,,0,,,10,,-2.2,270,240.04,,,,,,,0,,,,,,2.5
API_ACYCLOVIR,Acyclovir,,api,Drug/API,antiviral,,2022.0,,,,hydrophilic antiviral; low lipid compatibility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,III,,7,3,,,225.2,,119,,,,2,,,,,,,17.5,20,15,,,,0,,,10,,-1.6,256,180.16,,,9.3,,,,4,,,,,,1.3
API_CLOTRIMAZOLE,Clotrimazole,,api,Drug/API,antifungal,,2812.0,,,,lipophilic imidazole antifungal,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,2,0,,,344.84,,17.8,,,,3,,,,,,,18.4,6,5.5,,,,0,,,8,,5.4,147,275.87,,,4.7,,,,4,,,,,,0.00049
API_AMPHOTERICIN_B,Amphotericin B,,api,Drug/API,antifungal polyene,,5280965.0,,,,amphiphilic polyene; sterol-binding relevance,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,IV,,18,12,,,924.08,,319.6,,,,0,,,,,,,18,13,10.5,,,,0,,,9,,0.8,170,770.07,,,5.7,,,,3,,,,,,0.00075
API_DOXYCYCLINE,Doxycycline,,api,Drug/API,antibiotic tetracycline,,54671203.0,,,,chelation and pH-sensitive solubility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,III,,9,6,,,444.44,,181.6,,,,4,,,,,,,17.5,20,15,,,,0,,,10,,-0.7,201,355.55,,,3.4,,,,2,,,,,,0.63
API_RIFAMPICIN,Rifampicin,,api,Drug/API,antibiotic rifamycin,,5381226.0,,,,large amphiphilic antibiotic; oxidation-sensitive,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,14,6,,,822.94,,220.2,,,,5,,,,,,,18.2,10,8,,,,0,,,8.5,,2.7,183,685.78,,,7.9,,,,7,,,,,,1.3
API_CYCLOSPORINE_A,Cyclosporine A,,api,Drug/API,peptide/cyclic peptide,,5284373.0,,,,cyclic peptide; lipid emulsion/self-emulsifying relevance,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,IV,,12,5,,,1202.61,,279.5,,,,0,,,,,,,18.2,10,8,,,,0,,,8.5,,2.9,148,1002.17,,,,,,,15,,,,,,0.004
API_TACROLIMUS,Tacrolimus,,api,Drug/API,macrolide immunosuppressant,,445643.0,,,,macrolide immunosuppressant,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II/IV,,12,3,,,804.02,,178,,,,1,,,,,,,18.2,10,8,,,,0,,,8.5,,3.3,126,670.02,,,,,,,10,,,,,,0.001
API_SIROLIMUS,Sirolimus,,api,Drug/API,mTOR inhibitor macrolide,,5284616.0,,,,macrolide; amorphous/polymer stabilization candidate,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II/IV,,13,3,,,914.17,,195,,,,1,,,,,,,18.2,10,8,,,,0,,,8.5,,4.3,183,761.81,,,,,,,11,,,,,,0.0026
API_ITRACONAZOLE,Itraconazole,,api,Drug/API,triazole antifungal,,55283.0,,,,highly lipophilic weak base,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,9,0,,,705.64,,104.7,,,,5,,,,,,,18.4,6,5.5,,,,0,,,8,,5.7,166,588.03,,,3.7,,,,11,,,,,,1e-06
API_VORICONAZOLE,Voriconazole,,api,Drug/API,triazole antifungal,,71616.0,,,,weak base; oral/parenteral precedent,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,I/II,,6,1,,,349.31,,76,,,,3,,,,,,,18,13,10.5,,,,0,,,9,,1.8,130,279.45,,,1.8,,,,5,,,,,,0.71
API_CELECOXIB,Celecoxib,,api,Drug/API,NSAID/COX-2 inhibitor,,2662.0,,,,weakly acidic sulfonamide; hydrophobic,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,6,1,,,381.37,,86.4,,,,3,,,,,,,18.2,10,8,,,,0,,,8.5,,3.5,159,305.1,,,11.1,,,,4,,,,,,0.003
API_NIFEDIPINE,Nifedipine,,api,Drug/API,calcium-channel blocker,,4485.0,,,,photolabile dihydropyridine,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,7,1,,,346.33,,110,,,,1,,,,,,,18,13,10.5,,,,0,,,9,,2.2,172,277.06,,,,,,,6,,,,,,0.006
API_FELODIPINE,Felodipine,,api,Drug/API,calcium-channel blocker,,3333.0,,,,hydrophobic dihydropyridine,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,5,1,,,384.25,,64.6,,,,1,,,,,,,18.4,6,5.5,,,,0,,,8,,4.5,145,307.4,,,,,,,7,,,,,,0.0005
API_CARVEDILOL,Carvedilol,,api,Drug/API,beta-blocker,,2585.0,,,,basic amphiphile; ionization affects zeta/loading,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,5,3,,,406.47,,78.3,,,,3,,,,,,,18.2,10,8,,,,0,,,8.5,,3.8,117,325.18,,,7.8,,,,10,,,,,,0.01
API_ATORVASTATIN,Atorvastatin,,api,Drug/API,statin,,60823.0,,,,weak acid; salt form must be explicit,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,7,4,,,558.64,,111.8,,,,5,,,,,,,18.4,6,5.5,,,,0,,,8,,4.5,176,446.91,,,4.5,,,,12,,,,,,0.00063
API_SIMVASTATIN,Simvastatin,,api,Drug/API,statin lactone,,54454.0,,,,neutral lactone prodrug; hydrophobic,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,5,1,,,418.57,,72.8,,,,0,,,,,,,18.4,6,5.5,,,,0,,,8,,4.7,135,334.86,,,,,,,7,,,,,,0.03
API_FENOFIBRATE,Fenofibrate,,api,Drug/API,fibrate,,3339.0,,,,hydrophobic ester; lipid carrier model drug,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.,II,,4,0,,,360.83,,52.6,,,,2,,,,,,,18.4,6,5.5,,,,0,,,8,,5.2,81,288.66,,,,,,,7,,,,,,0.0008
PAY_SIRNA_DUPLEX_PLACEHOLDER,siRNA duplex placeholder,siRNA;siRNA (placeholder);small interfering RNA,api,Payload placeholder,nucleic-acid payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use sequence-specific MW, GC%, ionizable-lipid N/P ratio, and buffer pH.",,,,,,,,,,,,,,13500,,,1.0,,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,
PAY_MRNA_PAYLOAD_PLACEHOLDER,mRNA payload placeholder,mRNA;mRNA (placeholder);messenger RNA,api,Payload placeholder,nucleic-acid payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use transcript length, cap/polyA/modification and buffer-specific hydrodynamic descriptors.",,,,,,,,,,,,,,330000,,,1.0,,,,,,,,,-1000,,,,,,,,,,,,,,,,,,,,
PAY_PEPTIDE_PAYLOAD_PLACEHOLDER,Peptide payload placeholder,,api,Payload placeholder,peptide payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use sequence-specific pI, net charge, instability motifs, and proteolysis risk.",,,,,,,,,,,,,,1500,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
SURF_SPAN_20,Span 20,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,8.6,,346.46,,,,,,,,,,,,,17.3,10.5,6.5,,,,0,,0.505,8,,,28,353.53,,1,,,,,,12,0,,1.0,,
SURF_SPAN_40,Span 40,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,6.7,,402.57,,,,,,,,,,,,,17,7,4,,,,0,,0.471,7,,,46,410.79,,1,,,,,,16,0,,1.0,,
SURF_SPAN_60,Span 60,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,4.7,,430.62,,,,,,,,,,,,,17,7,4,,,,0,,0.435,7,,,54,439.41,,1,,,,,,18,0,,1.0,,
SURF_SPAN_65,Span 65,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,2.1,,963.54,,,,,,,,,,,,,17,7,4,,,,0,,0.388,7,,,55,983.2,,3,,,,,,18,0,,1.0,,
SURF_SPAN_80,Span 80,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,4.3,,428.6,,,,,,,,,,,,,17,7,4,,,,0,,0.427,7,,,,437.35,,1,,,,,,18,1,,1.0,,
SURF_SPAN_85,Span 85,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,1.8,,957.46,,,,,,,,,,,,,17,7,4,,,,0,,0.382,7,,,,977,,3,,,,,,18,1,,1.0,,
SURF_TWEEN_20,Tween 20,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,0.06,,,16.7,,1227.5,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.731,9,,,,1169.05,,1,,,,,,12,0,,,,
SURF_TWEEN_21,Tween 21,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,13.3,,970,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.669,8,,,,923.81,,1,,,,,,12,0,,,,
SURF_TWEEN_40,Tween 40,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,0.027,,,15.6,,1284,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.711,9,,,,1222.86,,1,,,,,,16,0,,,,
SURF_TWEEN_60,Tween 60,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,0.021,,,14.9,,1311.7,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.698,9,,,45,1249.24,,1,,,,,,18,0,,,,
SURF_TWEEN_61,Tween 61,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,9.6,,1095,,,,,,,,,,,,,17.3,10.5,6.5,,,,0,,0.603,8,,,37,1117.35,,1,,,,,,18,0,,1.0,,
SURF_TWEEN_65,Tween 65,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,10.5,,1844,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.619,8,,,32,1756.19,,3,,,,,,18,0,,1.0,,
SURF_TWEEN_80,Tween 80,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,0.012,,,15,,1310,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.7,9,,,,1247.62,,1,,,,,,18,1,,,,
SURF_TWEEN_81,Tween 81,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,,,,10,,1090,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.61,8,,,,1038.1,,1,,,,,,18,1,,1.0,,
SURF_TWEEN_85,Tween 85,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,,,0.02,,,11,,1838,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.628,8,,,,1750.48,,3,,,,,,18,1,,1.0,,
SURF_BRIJ_30,Brij 30,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,9.7,,362,,,,,,,,,,,,,17.3,10.5,6.5,,,,0,,0.605,8,,,,369.39,,1,,,,,,12,0,,1.0,,
SURF_BRIJ_35,Brij 35,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,0.09,,,16.9,,1198,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.734,9,,,,1140.95,,1,,,,,,12,0,,,,
SURF_BRIJ_52,Brij 52,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,5.3,,330,,,,,,,,,,,,,17,7,4,,,,0,,0.525,7,,,,336.73,,1,,,,,,16,0,,1.0,,
SURF_BRIJ_56,Brij 56,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,12.9,,682,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.662,8,,,,649.52,,1,,,,,,16,0,,,,
SURF_BRIJ_58,Brij 58,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,0.0077,,,15.7,,1122,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.713,9,,,,1068.57,,1,,,,,,16,0,,,,
SURF_BRIJ_72,Brij 72,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,4.9,,358,,,,,,,,,,,,,17,7,4,,,,0,,0.518,7,,,,365.31,,1,,,,,,18,0,,1.0,,
SURF_BRIJ_76,Brij 76,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,12.4,,710,,,,,,,,,,,,,17.3,10.5,6.5,,,1.0,0,,0.653,8,,,,676.19,,1,,,,,,18,0,,,,
SURF_BRIJ_78,Brij 78,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,15.3,,1150,,,,,,,,,,,,,17.2,14,8.5,,,1.0,0,,0.705,9,,,,1095.24,,1,,,,,,18,0,,,,
SURF_BRIJ_92,Brij 92,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,,,,,,4.9,,356,,,,,,,,,,,,,17,7,4,,,,0,,0.518,7,,,,363.27,,1,,,,,,18,1,,1.0,,
