material_name,property_name,value,unit,source_id,data_quality,confidence_score,notes
Miconazole,acid_base,base,,S019_PKA_LIT,literature,0.6,Imidazole base (structural).
Miconazole,pKa,6.65,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~6.65); verify against primary literature before decision-making.
Terbinafine,acid_base,base,,S019_PKA_LIT,literature,0.55,Tertiary amine (structural).
Terbinafine,pKa,7.1,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~7.1); verify against primary literature before decision-making.
Griseofulvin,acid_base,neutral,,S019_PKA_LIT,literature,0.55,No ionizable group in physiological range (structural).
Levofloxacin,acid_base,amphoteric,,S019_PKA_LIT,literature,0.6,Zwitterionic fluoroquinolone (structural).
Levofloxacin,pKa,6.0,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (carboxyl ~6.0 / amine ~8.2); verify against primary literature before decision-making.
Linezolid,acid_base,neutral,,S019_PKA_LIT,literature,0.5,Very weakly ionizable; effectively neutral at physiological pH (structural).
Clarithromycin,acid_base,base,,S019_PKA_LIT,literature,0.6,Desosamine basic N (structural).
Clarithromycin,pKa,8.99,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~8.99); verify against primary literature before decision-making.
Risperidone,acid_base,base,,S019_PKA_LIT,literature,0.6,Piperidine/pyrimidine basic centres (structural).
Risperidone,pKa,8.2,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~8.2/3.1); verify against primary literature before decision-making.
Olanzapine,acid_base,base,,S019_PKA_LIT,literature,0.6,Piperazine basic centres (structural).
Olanzapine,pKa,7.4,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~7.4/5.0); verify against primary literature before decision-making.
Donepezil,acid_base,base,,S019_PKA_LIT,literature,0.65,Tertiary amine (structural).
Donepezil,pKa,8.9,,S019_PKA_LIT,literature,0.6,Web-verified 2026 (tertiary amine pKa 8.9; also cited 9.08).
Amlodipine,acid_base,base,,S019_PKA_LIT,literature,0.6,Primary amine side chain (structural).
Amlodipine,pKa,8.6,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~8.6); verify against primary literature before decision-making.
Rosuvastatin,acid_base,acid,,S019_PKA_LIT,literature,0.65,Carboxylic acid statin (structural).
Rosuvastatin,pKa,4.5,,S019_PKA_LIT,literature,0.6,Web-verified 2026 (SiriusT3 carboxyl pKa 4.52).
Ezetimibe,acid_base,acid,,S019_PKA_LIT,literature,0.6,Phenolic OH (structural).
Ezetimibe,pKa,9.75,,S019_PKA_LIT,literature,0.6,Web-verified 2026 (potentiometric pKa 9.75).
Silibinin,acid_base,acid,,S019_PKA_LIT,literature,0.5,Polyphenolic; multiple phenol pKa (~7-9). pKa omitted (ambiguous).
Ritonavir,acid_base,base,,S019_PKA_LIT,literature,0.5,Very weakly basic thiazole; largely neutral at physiological pH (structural).
Ritonavir,pKa,2.8,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~2.8); verify against primary literature before decision-making.
Metronidazole,acid_base,base,,S019_PKA_LIT,literature,0.6,Weakly basic nitroimidazole (structural).
Metronidazole,pKa,2.55,,S019_PKA_LIT,estimated,0.4,Domain-knowledge reference (~2.5); verify against primary literature before decision-making.
